test set,McCormick 1,McCormick 0.5,McCormick 0.25,Time McCormick 1,Time McCormick_0.5,Time McCormick_0.25
j3019_2,19952.0,19952.0,24039.0,0,0,0
j3019_3,25931.0,26160.0,31636.0,0,0,0
j3019_4,14732.0,14732.0,15490.0,0,0,0
j3019_5,17682.0,17682.0,18359.0,0,0,0
j3019_6,17400.0,17096.0,19223.5,0,0,0
j3019_7,26785.0,26825.0,31073.0,0,0,0
j3019_8,14151.0,14151.0,14555.0,0,0,0
j3019_9,17226.0,17226.0,19974.0,0,0,0
j3019_10,14712.0,14712.0,15992.0,0,0,0
j3020_1,16641.0,16641.0,17115.0,0,0,0
j3020_2,18924.0,18924.0,23792.0,0,0,0
j3020_3,17923.0,17923.0,19368.0,0,0,0
j3020_4,15509.0,15509.0,15816.0,0,0,0
j3020_5,21355.0,21494.0,23350.333333333332,0,0,0
j3020_6,20807.0,20807.0,23356.0,0,0,0
j3020_7,16932.0,16932.0,19903.0,0,0,0
j3020_8,14938.0,14938.0,16480.0,0,0,0
j3020_9,17390.0,17390.0,19260.0,0,0,0
j3020_10,19264.0,19264.0,20123.0,0,0,0
j3021_1,20875.0,20808.0,24708.0,0,0,0
j3021_2,18633.0,18633.0,20146.0,0,0,0
j3021_3,20603.0,21683.0,24580.0,0,0,0
j3021_4,21793.0,21793.0,22033.0,0,0,0
j3021_5,18261.0,18826.0,21234.0,0,0,0
j3021_6,21926.0,21795.0,25938.0,0,0,0
j3021_7,21843.0,21782.0,24780.0,0,0,0
j3021_8,18345.0,18345.0,19782.0,0,0,0
j3021_9,16614.0,16604.0,18829.0,0,0,0
j3021_10,18984.0,18984.0,19759.0,0,0,0
j3022_1,15620.0,15488.0,16549.0,0,0,0
j3022_2,18441.0,18441.0,19059.0,0,0,0
j3022_3,20102.0,20102.0,24728.0,0,0,0
j3022_4,14760.0,14760.0,16452.0,0,0,0
j3022_5,17608.0,17608.0,19754.0,0,0,0
j3022_6,14339.0,14339.0,14417.0,0,0,0
j3022_7,17112.0,16989.0,18951.0,0,0,0
j3022_8,16290.0,15898.0,18353.0,0,0,0
j3022_9,23494.0,23386.0,25721.0,0,0,0
j3022_10,14431.0,14431.0,15818.0,0,0,0
j3023_1,16153.0,16153.0,17680.0,0,0,0
j3023_2,18776.0,18602.0,20742.0,0,0,0
j3023_3,16916.0,16916.0,18102.0,0,0,0
j3023_4,21700.0,21473.0,22810.0,0,0,0
j3023_5,16182.0,16182.0,17086.0,0,0,0
j3023_6,15114.0,15114.0,15576.0,0,0,0
j3023_7,19898.0,19898.0,22502.0,0,0,0
j3023_8,18140.0,18140.0,18223.0,0,0,0
j3023_9,17829.0,17829.0,17978.0,0,0,0
j3023_10,18877.0,18877.0,20585.0,0,0,0
j3024_1,15608.0,15870.0,17642.0,0,0,0
j3024_2,19099.0,21218.0,23711.0,0,0,0
j3024_3,23703.0,23703.0,26127.0,0,0,0
j3024_4,15046.0,15046.0,16703.0,0,0,0
j3024_5,19208.0,19208.0,21833.0,0,0,0
j3024_6,20030.0,20030.0,20861.0,0,0,0
j3024_7,16294.0,16294.0,16283.0,0,0,0
j3024_8,15418.0,15418.0,16784.0,0,0,0
j3024_9,18172.0,18172.0,20725.0,0,0,0
